0x200d8	𠃘	rgnv
0x200d9	𠃙	vvb
0x200da	𠃚	nnv
0x200db	𠃛	gnnv
0x200dc	𠃜	nnht
0x200dd	𠃝	niy
0x200de	𠃞	gvnn
0x200df	𠃟	anb
0x200e0	𠃠	vui
0x200e1	𠃡	nunn
0x200e2	𠃢	mgjg
0x200e3	𠃣	nite
0x200e4	𠃤	wfqb
0x200e5	𠃥	nfii
0x200e6	𠃦	mnn
0x200e7	𠃧	nunu
0x200e8	𠃨	nbbt
0x200e9	𠃩	vwee
0x200ea	𠃪	mann
0x200eb	𠃫	gjhn
0x200ec	𠃬	nnad
0x200ed	𠃭	eknn
0x200ee	𠃮	nnii
0x200ef	𠃯	tenn
0x200f0	𠃰	nwej
0x200f1	𠃱	fpbn
0x200f2	𠃲	wynn
0x200f3	𠃳	vkkd
0x200f4	𠃴	ycen
0x200f5	𠃵	hjnn
0x200f6	𠃶	epcn
0x200f7	𠃷	tbnn
0x200f8	𠃸	fkun
0x200f9	𠃹	ednn
0x200fa	𠃺	nuth
0x200fb	𠃻	uqwn
0x200fc	𠃼	tlqn
0x200fd	𠃽	wcnn
0x200fe	𠃾	mqqn
0x200ff	𠃿	epfn
0x20100	𠄀	ebfn
0x20101	𠄁	vusg
0x20102	𠄂	exnn
0x20103	𠄃	sjgn
0x20104	𠄄	ijgn
0x20105	𠄅	ogun
0x20106	𠄆	vdjr
0x20107	𠄇	ebnk
0x20108	𠄈	oqan
0x20109	𠄉	ebnf
0x2010a	𠄊	fjjn
0x2010b	𠄋	ajjn
0x2010c	𠄌	nnll
0x2010d	𠄍	nhk
0x2010e	𠄎	nnll
0x2010f	𠄏	hnv
0x20110	𠄐	nhk
0x20111	𠄑	nnhk
0x20112	𠄒	tfte
0x20113	𠄓	tnyh
0x20114	𠄔	bnhg
0x20115	𠄕	bbbj
0x20116	𠄖	wycs
0x20117	𠄗	mfbk
0x20118	𠄘	bfii
0x20119	𠄙	gkvh
0x2011a	𠄚	togs
0x2011b	𠄛	cbth
0x2011c	𠄜	gkvt
0x2011d	𠄝	cbqo
0x2011e	𠄞	fgg
0x2011f	𠄟	fgg
0x20120	𠄠	fgg
0x20121	𠄡	gqgf
0x20122	𠄢	gmng
0x20123	𠄣	gqrg
0x20124	𠄤	gbnf
0x20125	𠄥	fnfn
0x20126	𠄦	feyu
0x20127	𠄧	cfd
0x20128	𠄨	gqhg
0x20129	𠄩	ckfg
0x2012a	𠄪	biff
0x2012b	𠄫	awjj
0x2012c	𠄬	gmif
0x2012d	𠄭	gteg
0x2012e	𠄮	gxxg
0x2012f	𠄯	fnsg
0x20130	𠄰	flou
0x20131	𠄱	fhah
0x20132	𠄲	gjnb
0x20133	𠄳	ffcl
0x20134	𠄴	fcxj
0x20135	𠄵	gjjg
0x20136	𠄶	wtfg
0x20137	𠄷	kkkg
0x20138	𠄸	gnkg
0x20139	𠄹	gqkg
0x2013a	𠄺	fjhq
0x2013b	𠄻	gssu
0x2013c	𠄼	fmug
0x2013d	𠄽	frdd
0x2013e	𠄾	fakk
0x2013f	𠄿	flnh
0x20140	𠅀	fufc
0x20141	𠅁	yghk
0x20142	𠅂	ynht
0x20143	𠅃	ywwu
0x20144	𠅄	yvhu
0x20145	𠅅	ysu
0x20146	𠅆	ynwt
0x20147	𠅇	uynb
0x20148	𠅈	ygmw
0x20149	𠅉	ybuf
0x2014a	𠅊	yfj
0x2014b	𠅋	yxfj
0x2014c	𠅌	ykdu
0x2014d	𠅍	gsyn
0x2014e	𠅎	ynrw
0x2014f	𠅏	yknt
0x20150	𠅐	rwyn
0x20151	𠅑	ybtd
0x20152	𠅒	ynfi
0x20153	𠅓	ylww
0x20154	𠅔	ykcb
0x20155	𠅕	uqeu
0x20156	𠅖	ykkf
0x20157	𠅗	sywy
0x20158	𠅘	yjfs
0x20159	𠅙	yjfq
0x2015a	𠅚	ywgq
0x2015b	𠅛	ybxh
0x2015c	𠅜	ywgj
0x2015d	𠅝	ypbf
0x2015e	𠅞	yqam
0x2015f	𠅟	yaam
0x20160	𠅠	ykkh
0x20161	𠅡	ynnr
0x20162	𠅢	yjfa
0x20163	𠅣	ymct
0x20164	𠅤	ylnu
0x20165	𠅥	ylef
0x20166	𠅦	yqkl
0x20167	𠅧	ykkd
0x20168	𠅨	ytfq
0x20169	𠅩	yjvy
0x2016a	𠅪	ygmg
0x2016b	𠅫	yqqm
0x2016c	𠅬	ytfc
0x2016d	𠅭	yukm
0x2016e	𠅮	yifq
0x2016f	𠅯	yoyo
0x20170	𠅰	yftx
0x20171	𠅱	qcyy
0x20172	𠅲	ywfd
0x20173	𠅳	ynkm
0x20174	𠅴	yvcf
0x20175	𠅵	ynhf
0x20176	𠅶	yjfy
0x20177	𠅷	ykkf
0x20178	𠅸	ypfx
0x20179	𠅹	ypsx
0x2017a	𠅺	ylns
0x2017b	𠅻	ynie
0x2017c	𠅼	yntw
0x2017d	𠅽	ynmi
0x2017e	𠅾	uqkn
0x2017f	𠅿	ypfh
0x20180	𠆀	ypgf
0x20181	𠆁	ylry
0x20182	𠆂	ywwh
0x20183	𠆃	yipq
0x20184	𠆄	unmu
0x20185	𠆅	ywks
0x20186	𠆆	ykgf
0x20187	𠆇	ytmd
0x20188	𠆈	yvuv
0x20189	𠆉	ycgf
0x2018a	𠆊	ypgg
0x2018b	𠆋	ywuk
0x2018c	𠆌	yjqr
0x2018d	𠆍	yefw
0x2018e	𠆎	ylnc
0x2018f	𠆏	ygii
0x20190	𠆐	yhho
0x20191	𠆑	ylkw
0x20192	𠆒	ypuj
0x20193	𠆓	ybyy
0x20194	𠆔	ybvq
0x20195	𠆕	tfty
0x20196	𠆖	yyqk
0x20197	𠆗	yvuk
0x20198	𠆘	upwe
0x20199	𠆙	ypsy
0x2019a	𠆚	yhhx
0x2019b	𠆛	yjkf
0x2019c	𠆜	yvuv
0x2019d	𠆝	yjjt
0x2019e	𠆞	ybyg
0x2019f	𠆟	ywfe
0x201a0	𠆠	ywfo
0x201a1	𠆡	ywfo
0x201a2	𠆢	wty
0x201a3	𠆣	gwu
0x201a4	𠆤	whj
0x201a5	𠆥	tqi
0x201a6	𠆦	wgnv
0x201a7	𠆧	wwy
0x201a8	𠆨	wbh
0x201a9	𠆩	wmyy
0x201aa	𠆪	whxb
0x201ab	𠆫	wftt
0x201ac	𠆬	wfnn
0x201ad	𠆭	wgnb
0x201ae	𠆮	wgln
0x201af	𠆯	wkh
0x201b0	𠆰	wmhh
